"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,590,104",,"1,611,388",,"119,822,564","+1,341","3,156,152","7,699",,,,,,"Last updated: March 01, 2023, 13:47 "
Asia,"214,353,455","+40,182","1,536,768",+162,"198,988,145","+36,813","13,828,542","15,498",,,,,,"Last updated: March 01, 2023, 13:47 "
Europe,"246,314,132","+31,143","2,017,091",+79,"241,915,929","+51,040","2,381,112","6,491",,,,,,"Last updated: March 01, 2023, 13:47 "
South America,"68,008,352",+281,"1,350,611",+8,"66,272,789",+264,"384,952","10,192",,,,,,"Last updated: March 01, 2023, 13:47 "
Oceania,"13,996,296",,"26,116",,"13,834,559",,"135,621",64,,,,,,"Last updated: March 01, 2023, 13:47 "
Africa,"12,794,281",,"258,582",,"12,075,245",+24,"460,454",548,,,,,,"Last updated: March 01, 2023, 13:47 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 01, 2023, 13:47 "
World,"680,057,341","+71,606","6,800,571",+249,"652,909,937","+89,482","20,346,833","40,492","87,245",872.4,,,,"Last updated: March 01, 2023, 13:47 "
USA,"105,285,347",,"1,145,661",,"102,682,399",,"1,457,287","2,533","314,467","3,422","1,166,932,082","3,485,405","334,805,269","Last updated: March 01, 2023, 13:47 "
India,"44,686,611",,"530,772",,"44,153,504",,"2,335",N/A,"31,769",377,"918,679,922","653,106","1,406,631,776","Last updated: March 01, 2023, 13:47 "
France,"39,622,231",,"164,963",,"39,387,145",,"70,123",869,"604,140","2,515","271,490,188","4,139,547","65,584,518","Last updated: March 01, 2023, 13:47 "
Germany,"38,168,908",,"168,086",,"37,715,700","+16,500","285,122",N/A,"455,022","2,004","122,332,384","1,458,359","83,883,596","Last updated: March 01, 2023, 13:47 "
Brazil,"37,052,936",,"699,087",,"36,235,329",,"118,520",N/A,"172,056","3,246","63,776,166","296,146","215,353,593","Last updated: March 01, 2023, 13:47 "
Japan,"33,219,038","+13,950","72,486",+99,"21,685,717",+762,"11,460,835",160,"264,515",577,"95,253,685","758,481","125,584,838","Last updated: March 01, 2023, 13:47 "
S. Korea,"30,526,012","+12,291","33,988",+11,"30,304,171","+12,649","187,853",145,"594,702",662,"15,804,065","307,892","51,329,899","Last updated: March 01, 2023, 13:47 "
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770","Last updated: March 01, 2023, 13:47 "
UK,"24,341,615",,"206,246",,"24,091,325","+3,456","44,044",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907","Last updated: March 01, 2023, 13:47 "
Russia,"22,285,908","+13,438","396,137",+37,"21,631,409","+16,557","258,362",N/A,"152,846","2,717","273,400,000","1,875,095","145,805,947","Last updated: March 01, 2023, 13:47 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 01, 2023, 13:47 "
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142","Last updated: March 01, 2023, 13:47 "
Vietnam,"11,526,926",+9,"43,186",,"10,614,777",+8,"868,963",2,"116,488",436,"85,826,548","867,342","98,953,541","Last updated: March 01, 2023, 13:47 "
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792","Last updated: March 01, 2023, 13:47 "
Taiwan,"10,055,439","+12,212","17,975",+27,"9,736,050","+20,872","301,414",,"420,931",752,"30,742,304","1,286,903","23,888,595","Last updated: March 01, 2023, 13:47 "
Argentina,"10,044,125",,"130,463",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234","Last updated: March 01, 2023, 13:47 "
Netherlands,"8,596,296",,"22,992",,"8,558,816",,"14,488",53,"499,452","1,336","25,984,435","1,509,718","17,211,447","Last updated: March 01, 2023, 13:47 "
Iran,"7,568,903",+997,"144,858",+13,"7,339,457",+92,"84,588",301,"87,987","1,684","55,034,937","639,771","86,022,837","Last updated: March 01, 2023, 13:47 "
Mexico,"7,451,429",,"332,988",,"6,690,914",,"427,527",N/A,"56,638","2,531","19,572,325","148,768","131,562,772","Last updated: March 01, 2023, 13:47 "
Indonesia,"6,736,298",+252,"160,916",+2,"6,571,845",+153,"3,537",N/A,"24,133",576,"114,158,919","408,975","279,134,505","Last updated: March 01, 2023, 13:47 "
Poland,"6,422,467","+2,992","118,898",+14,"5,335,940",,"967,629",696,"170,178","3,150","38,279,634","1,014,305","37,739,785","Last updated: March 01, 2023, 13:47 "
Colombia,"6,359,464",,"142,615",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762","Last updated: March 01, 2023, 13:47 "
Austria,"5,919,616","+7,845","21,891",,"5,840,825","+3,925","56,900",86,"652,896","2,414","211,273,524","23,302,116","9,066,710","Last updated: March 01, 2023, 13:47 "
Greece,"5,849,949",,"36,077",,"5,804,980","+1,599","8,892",115,"567,040","3,497","102,228,365","9,909,078","10,316,637","Last updated: March 01, 2023, 13:47 "
Portugal,"5,566,708",,"26,117",,"5,537,790",,"2,801",61,"548,954","2,575","45,980,330","4,534,294","10,140,570","Last updated: March 01, 2023, 13:47 "
Ukraine,"5,382,095",,"111,175",,"5,265,637","+3,708","5,283",,"124,608","2,574","32,603,805","754,855","43,192,122","Last updated: March 01, 2023, 13:47 "
Chile,"5,166,328",,"64,176",,"5,097,447",,"4,705",85,"268,378","3,334","48,438,160","2,516,243","19,250,195","Last updated: March 01, 2023, 13:47 "
Malaysia,"5,042,791",,"36,958",,"4,996,585",,"9,248",7,"151,978","1,114","68,088,226","2,052,020","33,181,072","Last updated: March 01, 2023, 13:47 "
Israel,"4,799,283",,"12,290",,"4,781,252",,"5,741",57,"514,613","1,318","41,373,364","4,436,346","9,326,000","Last updated: March 01, 2023, 13:47 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: March 01, 2023, 13:47 "
Thailand,"4,728,035",,"33,911",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203","Last updated: March 01, 2023, 13:47 "
Belgium,"4,717,655",,"33,717",,"4,659,455",+558,"24,483",43,"404,315","2,890","36,709,556","3,146,099","11,668,278","Last updated: March 01, 2023, 13:47 "
Czechia,"4,611,001","+1,166","42,436",,"4,558,089",,"10,476",38,"429,458","3,952","56,998,352","5,308,699","10,736,784","Last updated: March 01, 2023, 13:47 "
