"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"124,972,586",,"1,615,028",,"120,354,939","+1,441","3,002,619","7,531",,,,,,"Last updated: March 13, 2023, 13:55 "
Asia,"214,750,893","+15,122","1,538,631",+93,"199,372,668","+19,648","13,839,594","15,548",,,,,,"Last updated: March 13, 2023, 13:55 "
Europe,"246,943,039","+19,762","2,022,451",+97,"242,544,916","+46,563","2,375,672","6,453",,,,,,"Last updated: March 13, 2023, 13:55 "
South America,"68,084,986",,"1,351,148",,"66,326,526",,"407,312","10,185",,,,,,"Last updated: March 13, 2023, 13:55 "
Oceania,"14,039,057","+1,644","26,243",+3,"13,873,166","+1,631","139,648",55,,,,,,"Last updated: March 13, 2023, 13:55 "
Africa,"12,800,272",,"258,610",,"12,077,412",+9,"464,250",548,,,,,,"Last updated: March 13, 2023, 13:55 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 13, 2023, 13:55 "
World,"681,591,554","+36,528","6,812,126",+193,"654,550,333","+69,291","20,229,095","40,320","87,442",873.9,,,,"Last updated: March 13, 2023, 13:55 "
USA,"105,602,997",,"1,148,785",,"103,160,419",,"1,293,793","2,365","315,416","3,431","1,168,689,987","3,490,656","334,805,269","Last updated: March 13, 2023, 13:55 "
India,"44,690,936",,"530,782",,"44,156,345",,"3,809",N/A,"31,772",377,"919,671,930","653,811","1,406,631,776","Last updated: March 13, 2023, 13:55 "
France,"39,655,930",,"165,163",,"39,425,027",,"65,740",869,"604,654","2,518","271,490,188","4,139,547","65,584,518","Last updated: March 13, 2023, 13:55 "
Germany,"38,256,003",,"169,057",,"37,868,100","+21,400","218,846",N/A,"456,061","2,015","122,332,384","1,458,359","83,883,596","Last updated: March 13, 2023, 13:55 "
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593","Last updated: March 13, 2023, 13:55 "
Japan,"33,326,890","+3,368","73,226",+27,"21,703,521",+995,"11,550,143",111,"265,374",583,"96,226,546","766,227","125,584,838","Last updated: March 13, 2023, 13:55 "
S. Korea,"30,638,929","+4,198","34,115",+12,"30,435,599",,"169,215",142,"596,902",665,"15,804,065","307,892","51,329,899","Last updated: March 13, 2023, 13:55 "
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770","Last updated: March 13, 2023, 13:55 "
UK,"24,396,534",,"207,695",,"24,129,971","+4,846","58,868",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907","Last updated: March 13, 2023, 13:55 "
Russia,"22,433,361","+10,268","396,620",+34,"21,779,606","+9,476","257,135",N/A,"153,858","2,720","273,400,000","1,875,095","145,805,947","Last updated: March 13, 2023, 13:55 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 13, 2023, 13:55 "
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142","Last updated: March 13, 2023, 13:55 "
Vietnam,"11,527,046",+9,"43,186",,"10,614,819",+1,"869,041",1,"116,489",436,"85,826,548","867,342","98,953,541","Last updated: March 13, 2023, 13:55 "
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792","Last updated: March 13, 2023, 13:55 "
Taiwan,"10,177,165","+6,577","18,549",+37,"9,935,941","+17,211","222,675",,"426,026",776,"30,742,304","1,286,903","23,888,595","Last updated: March 13, 2023, 13:55 "
