"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
North America,"125,046,486","+8,239","1,615,689",+121,"120,520,596","+96,671","2,910,201","7,337",,,,,,"Last updated: March 15, 2023, 01:08 "
Asia,"214,785,867","+33,626","1,538,734",+101,"199,401,776","+28,204","13,845,357","15,575",,,,,,"Last updated: March 15, 2023, 01:08 "
Europe,"246,995,816","+37,959","2,022,818",+143,"242,609,884","+57,993","2,363,114","6,452",,,,,,"Last updated: March 15, 2023, 01:08 "
South America,"68,091,042","+2,853","1,351,192",+7,"66,335,727","+4,745","404,123","10,189",,,,,,"Last updated: March 15, 2023, 01:08 "
Oceania,"14,039,060",+1,"26,243",,"13,873,170",+1,"139,647",55,,,,,,"Last updated: March 15, 2023, 01:08 "
Africa,"12,802,214",+382,"258,615",+4,"12,078,296",+291,"465,303",548,,,,,,"Last updated: March 15, 2023, 01:08 "
,721,,15,,706,,0,0,,,,,,"Last updated: March 15, 2023, 01:08 "
World,"681,761,206","+83,060","6,813,306",+376,"654,820,155","+187,905","20,127,745","40,156","87,464",874.1,,,,"Last updated: March 15, 2023, 01:08 "
USA,"105,665,981","+6,943","1,149,253",+113,"103,315,463","+92,274","1,201,265","2,171","315,604","3,433","1,169,267,631","3,492,381","334,805,269","Last updated: March 15, 2023, 01:08 "
India,"44,691,338",,"530,784",,"44,156,651",,"3,903",N/A,"31,772",377,"919,716,776","653,843","1,406,631,776","Last updated: March 15, 2023, 01:08 "
France,"39,667,102","+9,937","165,240",+27,"39,435,335","+4,534","66,527",869,"604,824","2,519","271,490,188","4,139,547","65,584,518","Last updated: March 15, 2023, 01:08 "
Germany,"38,266,753",,"169,222",,"37,889,500","+21,400","208,031",N/A,"456,189","2,017","122,332,384","1,458,359","83,883,596","Last updated: March 15, 2023, 01:08 "
Brazil,"37,085,520",,"699,310",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593","Last updated: March 15, 2023, 01:08 "
Japan,"33,336,977","+10,011","73,273",+47,"21,704,201",+680,"11,559,503",115,"265,454",583,"96,341,369","767,142","125,584,838","Last updated: March 15, 2023, 01:08 "
S. Korea,"30,650,330","+11,401","34,121",+6,"30,445,638","+10,039","170,571",152,"597,124",665,"15,804,065","307,892","51,329,899","Last updated: March 15, 2023, 01:08 "
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770","Last updated: March 15, 2023, 01:08 "
UK,"24,396,534",,"207,695",,"24,134,621","+4,650","54,218",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907","Last updated: March 15, 2023, 01:08 "
Russia,"22,442,887","+9,526","396,664",+44,"21,792,012","+12,406","254,211",N/A,"153,923","2,720","273,400,000","1,875,095","145,805,947","Last updated: March 15, 2023, 01:08 "
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976","Last updated: March 15, 2023, 01:08 "
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142","Last updated: March 15, 2023, 01:08 "
Vietnam,"11,527,054",+8,"43,186",,"10,614,823",+4,"869,045",1,"116,490",436,"85,826,548","867,342","98,953,541","Last updated: March 15, 2023, 01:08 "
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792","Last updated: March 15, 2023, 01:08 "
Taiwan,"10,187,238","+10,085","18,577",+28,"9,952,384","+16,443","216,277",,"426,448",778,"30,742,304","1,286,903","23,888,595","Last updated: March 15, 2023, 01:08 "
Argentina,"10,044,957",,"130,472",,"9,912,836","+1,172","1,649",363,"218,320","2,836","35,716,069","776,264","46,010,234","Last updated: March 15, 2023, 01:08 "
Netherlands,"8,604,733",+945,"22,992",,"8,563,853",+473,"17,888",53,"499,942","1,336","25,984,435","1,509,718","17,211,447","Last updated: March 15, 2023, 01:08 "
Iran,"7,573,328",,"144,956",,"7,340,279",,"88,093",407,"88,039","1,685","55,353,767","643,478","86,022,837","Last updated: March 15, 2023, 01:08 "
Mexico,"7,492,112",,"333,243",,"6,729,945",,"428,924",N/A,"56,947","2,533","19,642,771","149,303","131,562,772","Last updated: March 15, 2023, 01:08 "
Indonesia,"6,739,669",+380,"160,953",+3,"6,575,350",+251,"3,366",N/A,"24,145",577,"114,158,919","408,975","279,134,505","Last updated: March 15, 2023, 01:08 "
Poland,"6,458,301","+5,083","119,046",+16,"5,335,940",,"1,003,315",696,"171,127","3,154","38,386,743","1,017,143","37,739,785","Last updated: March 15, 2023, 01:08 "
Colombia,"6,360,780",,"142,639",,"6,184,346",,"33,795",342,"123,480","2,769","36,951,507","717,327","51,512,762","Last updated: March 15, 2023, 01:08 "
Austria,"5,981,084","+4,495","22,002",+7,"5,912,126","+6,492","46,956",78,"659,675","2,427","211,273,524","23,302,116","9,066,710","Last updated: March 15, 2023, 01:08 "
Greece,"5,896,788",,"36,283",,"5,838,794","+3,619","21,711",115,"571,580","3,517","102,228,365","9,909,078","10,316,637","Last updated: March 15, 2023, 01:08 "
Portugal,"5,570,473",,"26,266",,"5,539,213",,"4,994",61,"549,325","2,590","45,994,869","4,535,728","10,140,570","Last updated: March 15, 2023, 01:08 "
Ukraine,"5,399,231",,"111,298",,"5,270,797",,"17,136",,"125,005","2,577","32,603,805","754,855","43,192,122","Last updated: March 15, 2023, 01:08 "
Chile,"5,209,152","+2,772","64,330",+7,"5,135,832","+3,426","8,990",88,"270,603","3,342","48,657,289","2,527,626","19,250,195","Last updated: March 15, 2023, 01:08 "
Malaysia,"5,045,192",,"36,967",,"4,998,845",,"9,380",5,"152,050","1,114","68,309,333","2,058,684","33,181,072","Last updated: March 15, 2023, 01:08 "
Israel,"4,806,396",+944,"12,341",+3,"4,781,252",,"12,803",57,"515,376","1,323","41,373,364","4,436,346","9,326,000","Last updated: March 15, 2023, 01:08 "
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679","Last updated: March 15, 2023, 01:08 "
Belgium,"4,739,365",,"33,814",,"4,669,228","+1,047","36,323",43,"406,175","2,898","36,797,565","3,153,641","11,668,278","Last updated: March 15, 2023, 01:08 "
Thailand,"4,728,304",,"33,924",,"4,692,636",,"1,744",N/A,"67,472",484,"17,270,775","246,450","70,078,203","Last updated: March 15, 2023, 01:08 "
Czechia,"4,622,171","+1,730","42,515",+5,"4,570,740",+927,"8,916",36,"430,499","3,960","57,053,991","5,313,881","10,736,784","Last updated: March 15, 2023, 01:08 "
Canada,"4,609,277",,"51,624",,"4,521,136","+2,972","36,517",99,"120,069","1,345","66,343,123","1,728,207","38,388,419","Last updated: March 15, 2023, 01:08 "
Peru,"4,488,259",,"219,587",,"4,266,166",,"2,506",37,"133,245","6,519","38,157,518","1,132,801","33,684,208","Last updated: March 15, 2023, 01:08 "
Switzerland,"4,392,464",,"14,452",,"4,373,995",,"4,017",39,"500,643","1,647","23,833,472","2,716,487","8,773,637","Last updated: March 15, 2023, 01:08 "
Philippines,"4,078,137",+110,"66,226",+9,"4,002,827",+131,"9,084",162,"36,247",589,"34,703,538","308,451","112,508,994","Last updated: March 15, 2023, 01:08 "
South Africa,"4,068,319",,"102,595",,"3,912,506",,"53,218",192,"66,961","1,689","26,795,090","441,027","60,756,135","Last updated: March 15, 2023, 01:08 "
Romania,"3,352,356",,"67,773",,"3,267,358",,"17,225",117,"176,149","3,561","26,825,878","1,409,564","19,031,335","Last updated: March 15, 2023, 01:08 "
Denmark,"3,176,163",+80,"8,316",+4,"3,166,883",+62,964,19,"544,334","1,425","129,214,043","22,144,842","5,834,950","Last updated: March 15, 2023, 01:08 "
